ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
624,Ronald,BRA,Meio-Campista,Cuiabá,25.0,1997.0,21.0,4.0,585.0,6.5,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.8,0.8,1.0,1.8,24.0,49.0,21.0,0.31,0.15,0.46,0.31,0.46,0.13,0.15,0.28,0.13,0.28,284.0,353.0,80.5,4459.0,1340.0,143.0,167.0,85.6,108.0,125.0,86.4,22.0,40.0,55.0,14.0,5.0,35.7,2.15,0.77,0.14,0.4,26.9,3.0,21.0,9.0,9.0,10.0,2.0,8.0,30.8,18.0,0.0,4.0,9.0,30.0,7.0,0.0
625,Budiga Roni,BRA,Meio-Campista,Corinthians,23.0,1999.0,15.0,7.0,676.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,4.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,356.0,411.0,86.6,5895.0,1525.0,170.0,185.0,91.9,151.0,172.0,87.8,26.0,36.0,72.2,3.0,1.0,33.3,0.4,0.13,0.0,0.0,24.3,0.0,23.0,13.0,12.0,11.0,0.0,10.0,38.5,16.0,6.0,9.0,6.0,29.0,12.0,0.0
629,Diego Rosa,BRA,Meio-Campista,Bahia,20.0,2002.0,11.0,0.0,246.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,3.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.13,0.12,0.13,110.0,140.0,78.6,1985.0,577.0,51.0,54.0,94.4,45.0,54.0,83.3,13.0,27.0,48.1,8.0,2.0,25.0,2.93,0.73,0.0,0.0,25.5,2.0,16.0,10.0,6.0,9.0,1.0,9.0,64.3,5.0,0.0,2.0,5.0,21.0,5.0,0.0
632,Rubens,BRA,Meio-Campista,Atlético Mineiro,21.0,2001.0,24.0,14.0,1352.0,15.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.1,1.1,1.1,2.2,39.0,53.0,88.0,0.07,0.07,0.13,0.07,0.13,0.07,0.07,0.14,0.07,0.14,596.0,772.0,77.2,9275.0,2800.0,318.0,363.0,87.6,231.0,286.0,80.8,32.0,65.0,49.2,18.0,5.0,27.8,1.2,0.33,0.06,0.2,22.3,0.0,81.0,49.0,47.0,22.0,12.0,30.0,54.5,25.0,3.0,13.0,19.0,100.0,58.0,0.0
637,Andreas Samaris,GRE,Meio-Campista,Coritiba,33.0,1989.0,4.0,4.0,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,83.0,92.0,90.2,1714.0,511.0,25.0,31.0,80.6,42.0,44.0,95.5,15.0,16.0,93.8,1.0,1.0,100.0,0.49,0.49,0.0,0.0,13.5,0.0,4.0,2.0,1.0,2.0,1.0,3.0,42.9,4.0,0.0,3.0,4.0,8.0,3.0,0.0
640,Sandry,BRA,Meio-Campista,Santos,20.0,2002.0,5.0,2.0,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,85.0,106.0,80.2,1778.0,470.0,32.0,34.0,94.1,33.0,42.0,78.6,18.0,26.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,1.0,1.0,2.0,33.3,4.0,3.0,1.0,2.0,8.0,0.0,0.0
641,Alex Santana,BRA,Meio-Campista,Ath Paranaense,27.0,1995.0,21.0,9.0,1002.0,11.1,3.0,0.0,3.0,3.0,0.0,0.0,6.0,1.0,1.2,1.2,0.2,1.3,20.0,46.0,17.0,0.27,0.0,0.27,0.27,0.27,0.1,0.01,0.12,0.1,0.12,378.0,434.0,87.1,6235.0,1530.0,194.0,212.0,91.5,144.0,160.0,90.0,30.0,42.0,71.4,22.0,6.0,27.3,1.98,0.54,0.14,0.5,22.8,0.0,15.0,11.0,5.0,7.0,3.0,9.0,47.4,10.0,7.0,3.0,11.0,26.0,8.0,0.0
645,Andrey Santos,BRA,Meio-Campista,Vasco da Gama,18.0,2004.0,6.0,6.0,421.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,0.1,1.3,4.0,14.0,12.0,0.21,0.0,0.21,0.21,0.21,0.26,0.02,0.28,0.26,0.28,107.0,138.0,77.5,1608.0,432.0,63.0,74.0,85.1,39.0,43.0,90.7,5.0,12.0,41.7,5.0,2.0,40.0,1.07,0.43,0.2,0.5,8.0,0.0,15.0,7.0,9.0,4.0,2.0,5.0,22.7,17.0,1.0,4.0,11.0,26.0,7.0,1.0
657,Lucas Sasha,BRA,Meio-Campista,Fortaleza,32.0,1990.0,19.0,10.0,1016.0,11.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.3,1.0,7.0,60.0,16.0,0.0,0.09,0.09,0.0,0.09,0.05,0.03,0.08,0.05,0.08,451.0,529.0,85.3,7322.0,2063.0,222.0,250.0,88.8,186.0,205.0,90.7,32.0,50.0,64.0,8.0,1.0,12.5,0.71,0.09,0.0,0.0,18.1,0.0,58.0,40.0,30.0,27.0,1.0,29.0,43.9,37.0,2.0,19.0,27.0,85.0,22.0,0.0
665,Lucas Silva,BRA,Meio-Campista,Cruzeiro,29.0,1993.0,20.0,18.0,1473.0,16.4,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,2.0,2.9,31.0,127.0,40.0,0.0,0.12,0.12,0.0,0.12,0.05,0.12,0.18,0.05,0.18,752.0,929.0,80.9,14869.0,4139.0,274.0,307.0,89.3,341.0,385.0,88.6,122.0,186.0,65.6,19.0,4.0,21.1,1.16,0.24,0.0,0.0,27.7,3.0,28.0,18.0,8.0,14.0,6.0,15.0,68.2,7.0,1.0,11.0,9.0,37.0,5.0,1.0
