ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
321,Hugo,BRA,Defensor,Botafogo (RJ),21.0,2001.0,22.0,13.0,1395.0,15.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.6,1.8,36.0,69.0,75.0,0.0,0.13,0.13,0.0,0.13,0.01,0.1,0.12,0.01,0.12,607.0,788.0,77.0,9797.0,3725.0,323.0,357.0,90.5,212.0,268.0,79.1,50.0,115.0,43.5,8.0,2.0,25.0,0.52,0.13,0.0,0.0,27.4,0.0,56.0,31.0,33.0,18.0,5.0,27.0,52.9,24.0,1.0,10.0,24.0,80.0,37.0,0.0
323,Vitor Hugo,BRA,Defensor,Bahia,31.0,1991.0,27.0,27.0,2129.0,23.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.5,1.2,22.0,85.0,3.0,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,896.0,1045.0,85.7,17690.0,6526.0,274.0,307.0,89.3,529.0,575.0,92.0,90.0,142.0,63.4,14.0,3.0,21.4,0.59,0.13,0.07,0.33,12.5,0.0,38.0,24.0,29.0,9.0,0.0,18.0,75.0,6.0,12.0,9.0,32.0,70.0,82.0,0.0
325,José Hurtado,ECU,Defensor,Bragantino,21.0,2001.0,25.0,17.0,1618.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,1.4,57.0,86.0,79.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08,745.0,993.0,75.0,11988.0,5052.0,386.0,450.0,85.8,303.0,396.0,76.5,44.0,98.0,44.9,7.0,2.0,28.6,0.39,0.11,0.0,0.0,26.9,0.0,36.0,26.0,16.0,17.0,3.0,25.0,53.2,22.0,6.0,13.0,21.0,57.0,34.0,0.0
329,Gabriel Inocêncio,BRA,Defensor,Santos,28.0,1994.0,22.0,12.0,1276.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.3,0.8,24.0,51.0,46.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,539.0,711.0,75.8,8253.0,3573.0,300.0,345.0,87.0,206.0,281.0,73.3,23.0,53.0,43.4,11.0,4.0,36.4,0.78,0.28,0.0,0.0,22.1,0.0,52.0,31.0,30.0,13.0,9.0,28.0,58.3,20.0,8.0,18.0,15.0,67.0,40.0,1.0
333,Zé Ivaldo,BRA,Defensor,Ath Paranaense,25.0,1997.0,14.0,10.0,1016.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.1,0.2,9.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,457.0,567.0,80.6,9554.0,3765.0,147.0,161.0,91.3,239.0,268.0,89.2,67.0,124.0,54.0,3.0,1.0,33.3,0.27,0.09,0.0,0.0,26.6,1.0,17.0,13.0,13.0,4.0,0.0,10.0,71.4,4.0,5.0,2.0,16.0,33.0,45.0,0.0
342,Jemerson,BRA,Defensor,Atlético Mineiro,30.0,1992.0,32.0,27.0,2476.0,27.5,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.1,1.1,21.0,66.0,5.0,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,1361.0,1534.0,88.7,23892.0,8149.0,521.0,555.0,93.9,697.0,747.0,93.3,97.0,171.0,56.7,10.0,2.0,20.0,0.36,0.07,0.0,0.0,10.2,0.0,30.0,20.0,19.0,10.0,1.0,16.0,48.5,17.0,24.0,7.0,31.0,61.0,104.0,1.0
344,Alexandre Jesus,BRA,Defensor,Fluminense,21.0,2001.0,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,7.0,8.0,87.5,107.0,28.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,7.5,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
345,Jhow,BRA,Defensor,América (MG),19.0,2003.0,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,357.0,148.0,5.0,5.0,100.0,11.0,11.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
346,Joaquim,BRA,Defensor,Santos,24.0,1998.0,31.0,31.0,2730.0,30.3,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,2.3,2.3,2.0,4.2,8.0,58.0,8.0,0.03,0.13,0.16,0.03,0.16,0.08,0.06,0.14,0.08,0.14,860.0,1195.0,72.0,18042.0,7492.0,242.0,291.0,83.2,499.0,593.0,84.1,111.0,263.0,42.2,35.0,9.0,25.7,1.15,0.3,0.03,0.11,12.2,0.0,61.0,45.0,46.0,14.0,1.0,38.0,74.5,13.0,24.0,15.0,46.0,107.0,183.0,1.0
348,Felipe Jonatan,BRA,Defensor,Santos,24.0,1998.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,3.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,69.0,81.0,85.2,1112.0,552.0,38.0,41.0,92.7,21.0,28.0,75.0,9.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
