ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
544,Pedrinho,BRA,Atacante,Atlético Mineiro,24.0,1998.0,15.0,6.0,629.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.4,1.7,15.0,70.0,34.0,0.0,0.29,0.29,0.0,0.29,0.04,0.2,0.24,0.04,0.24,339.0,411.0,82.5,5614.0,1654.0,167.0,175.0,95.4,132.0,154.0,85.7,30.0,56.0,53.6,10.0,2.0,20.0,1.43,0.29,0.0,0.0,27.4,0.0,13.0,5.0,4.0,7.0,2.0,4.0,80.0,1.0,0.0,6.0,1.0,14.0,2.0,0.0
545,Pedrinho,BRA,Atacante,Flamengo,19.0,2003.0,1.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,33.3,59.0,23.0,0.0,1.0,0.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
546,Pedro,BRA,Atacante,Flamengo,25.0,1997.0,34.0,26.0,2151.0,23.9,13.0,0.0,13.0,9.0,4.0,4.0,1.0,0.0,11.1,7.9,0.9,8.9,16.0,49.0,108.0,0.54,0.0,0.54,0.38,0.38,0.46,0.04,0.5,0.33,0.37,300.0,392.0,76.5,4181.0,943.0,183.0,220.0,83.2,82.0,103.0,79.6,15.0,20.0,75.0,59.0,25.0,42.4,2.47,1.05,0.15,0.36,16.2,0.0,18.0,13.0,2.0,10.0,6.0,4.0,28.6,10.0,0.0,17.0,8.0,26.0,15.0,0.0
547,João Pedro,BRA,Atacante,Cruzeiro,19.0,2003.0,1.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,12.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,João Pedro,ITA,Atacante,Grêmio,30.0,1992.0,14.0,10.0,616.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,1.3,8.0,6.0,36.0,0.0,0.15,0.15,0.0,0.15,0.15,0.05,0.19,0.15,0.19,85.0,125.0,68.0,1130.0,236.0,62.0,78.0,79.5,15.0,27.0,55.6,6.0,10.0,60.0,10.0,1.0,10.0,1.46,0.15,0.0,0.0,12.8,0.0,5.0,4.0,1.0,3.0,1.0,1.0,20.0,4.0,2.0,5.0,4.0,9.0,7.0,0.0
552,Matheus Peixoto,BRA,Atacante,Goiás,27.0,1995.0,13.0,12.0,879.0,9.8,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.2,1.4,1.6,3.0,4.0,11.0,28.0,0.2,0.1,0.31,0.1,0.2,0.23,0.16,0.39,0.15,0.31,111.0,156.0,71.2,1567.0,273.0,60.0,79.0,75.9,36.0,43.0,83.7,6.0,8.0,75.0,20.0,6.0,30.0,2.05,0.61,0.05,0.17,16.0,0.0,9.0,5.0,3.0,3.0,3.0,4.0,66.7,2.0,2.0,5.0,4.0,13.0,13.0,0.0
554,Carlos de Pena,URU,Atacante,Internacional,30.0,1992.0,27.0,16.0,1425.0,15.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,1.4,1.4,0.9,2.3,23.0,83.0,55.0,0.13,0.0,0.13,0.13,0.13,0.09,0.06,0.14,0.09,0.14,566.0,741.0,76.4,9448.0,2556.0,283.0,324.0,87.3,221.0,280.0,78.9,47.0,92.0,51.1,31.0,9.0,29.0,1.96,0.57,0.06,0.22,23.6,4.0,26.0,13.0,5.0,17.0,4.0,12.0,33.3,24.0,2.0,11.0,21.0,47.0,20.0,0.0
556,Matheus Pereira,POR,Atacante,Cruzeiro,26.0,1996.0,15.0,12.0,1022.0,11.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.9,1.9,2.8,4.7,17.0,60.0,74.0,0.09,0.09,0.18,0.09,0.18,0.17,0.24,0.42,0.17,0.42,447.0,607.0,73.6,6710.0,2015.0,260.0,295.0,88.1,127.0,167.0,76.0,36.0,91.0,39.6,19.0,8.0,42.1,1.67,0.7,0.05,0.13,21.6,4.0,6.0,4.0,0.0,4.0,2.0,4.0,23.5,13.0,0.0,7.0,6.0,12.0,3.0,0.0
559,Lucas Piazon,BRA,Atacante,Botafogo (RJ),29.0,1994.0,1.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,88.0,45.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,Yago Pikachu,BRA,Atacante,Fortaleza,30.0,1992.0,37.0,16.0,1751.0,19.5,7.0,1.0,8.0,7.0,0.0,1.0,5.0,0.0,5.5,4.7,2.8,7.5,40.0,62.0,170.0,0.36,0.05,0.41,0.36,0.41,0.28,0.14,0.43,0.24,0.39,468.0,621.0,75.4,7631.0,2223.0,248.0,288.0,86.1,159.0,209.0,76.1,46.0,78.0,59.0,44.0,16.0,36.4,2.26,0.82,0.16,0.44,17.1,3.0,20.0,14.0,9.0,9.0,2.0,8.0,28.6,20.0,3.0,19.0,13.0,33.0,13.0,0.0
561,Rodrigo Pinho,BRA,Atacante,Coritiba,31.0,1991.0,10.0,5.0,385.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.1,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,0.25,0.21,0.25,46.0,71.0,64.8,646.0,129.0,25.0,32.0,78.1,13.0,22.0,59.1,3.0,4.0,75.0,11.0,5.0,45.5,2.57,1.17,0.0,0.0,16.8,1.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,8.0,2.0,4.0,1.0,6.0,4.0,0.0
563,Gabriel Pirani,BRA,Atacante,Fluminense,20.0,2002.0,9.0,6.0,396.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,0.0,1.6,13.0,6.0,25.0,0.23,0.0,0.23,0.23,0.23,0.37,0.0,0.37,0.37,0.37,139.0,165.0,84.2,1597.0,297.0,82.0,95.0,86.3,35.0,37.0,94.6,3.0,4.0,75.0,8.0,4.0,50.0,1.82,0.91,0.13,0.25,12.6,0.0,8.0,5.0,4.0,1.0,3.0,2.0,33.3,4.0,2.0,4.0,2.0,10.0,5.0,0.0
566,Isidro Pitta,PAR,Atacante,Cuiabá,23.0,1999.0,29.0,7.0,823.0,9.1,5.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,3.5,2.7,0.4,3.1,23.0,21.0,77.0,0.55,0.11,0.66,0.44,0.55,0.38,0.04,0.42,0.3,0.34,156.0,237.0,65.8,2051.0,382.0,91.0,121.0,75.2,45.0,70.0,64.3,6.0,14.0,42.9,20.0,6.0,30.0,2.19,0.66,0.2,0.67,18.2,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,4.0,5.0,0.0
567,Tomas Pochettino,ARG,Atacante,Fortaleza,26.0,1996.0,35.0,26.0,1991.0,22.1,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.9,2.9,3.9,6.9,55.0,107.0,130.0,0.09,0.14,0.23,0.09,0.23,0.13,0.18,0.31,0.13,0.31,614.0,851.0,72.2,11153.0,3330.0,276.0,320.0,86.3,241.0,302.0,79.8,80.0,162.0,49.4,51.0,20.0,39.2,2.31,0.9,0.04,0.1,22.3,4.0,44.0,22.0,11.0,28.0,5.0,24.0,38.7,38.0,6.0,23.0,17.0,61.0,22.0,0.0
571,William Pottker,BRA,Atacante,Coritiba,29.0,1993.0,4.0,1.0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.2,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.17,0.12,0.17,28.0,40.0,70.0,391.0,134.0,18.0,20.0,90.0,7.0,11.0,63.6,2.0,3.0,66.7,1.0,1.0,100.0,0.78,0.78,0.0,0.0,22.4,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0
575,Nicolás Quagliata,URU,Atacante,Cuiabá,23.0,1999.0,9.0,0.0,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.7,13.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.26,0.09,0.26,111.0,147.0,75.5,1641.0,454.0,70.0,77.0,90.9,35.0,43.0,81.4,5.0,16.0,31.3,6.0,0.0,0.0,2.32,0.0,0.0,0.0,18.5,0.0,3.0,2.0,3.0,0.0,0.0,2.0,16.7,10.0,0.0,7.0,0.0,3.0,1.0,0.0
584,Lucas Ramos,BRA,Atacante,Internacional,22.0,2001.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
