ID,Jogador,Nação,Pos,Equipe,Idade,Nascimento,Jogos,Inícios,Minutos,90s,Gols,Assist,G+A,Gnormal,PC,PB,CartaoA,CartaoV,xG,xGnormal,xG+A,xGnormal+xG+A,PrgCarregadas,PrgPasses,PrgPassesPrgRecebidos,Gols90,Assis.90,G+A90,G-PB90,G+A-PB90,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,PassesTotaisConcluidos,PassesTotaisTentados,%ConclusãoDePasses,DistTotalPasses,DistTotalProgressivos,PassesConcluidosCurto,PassesTentadosCurto,%PassesConclusaoCurto,PassesConcluidosMedio,PassesTentadosMedio,%PassesConclusaoMedio,PassesConcluidosLongo,PassesTentadosLongo,%PassesConclusaoLongo,TotalChutes,ChutesAGol,%ChutesNoGol,TotalChutes/90,TotalAcertos/90,Gols/Chutes,Gols/ChuteaGol,DistanciaChute,CobrancaFalta,BotesDefensivos,AssumiuPosse,Confrontos_1ter,Confrontos_2ter,Confrontos_3ter,Desarme,%DesarmesCertos,DesarmeErrado,ChutesBloqueados,PassesBloqueados,Cortes,Interceptacoes,Def,Erros
722,Vitão,BRA,Defensor,Internacional,22.0,2000.0,26.0,25.0,2041.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7,0.7,0.5,1.2,13.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,959.0,1102.0,87.0,18472.0,5777.0,269.0,298.0,90.3,606.0,650.0,93.2,73.0,127.0,57.5,12.0,3.0,25.0,0.53,0.13,0.0,0.0,12.2,0.0,16.0,14.0,10.0,6.0,0.0,9.0,39.1,14.0,16.0,10.0,16.0,32.0,104.0,0.0
723,Vitão,BRA,Defensor,Cuiabá,22.0,2000.0,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
724,Vitinho,BRA,Atacante,Bragantino,23.0,1999.0,33.0,23.0,2049.0,22.8,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,3.8,3.8,3.0,6.7,76.0,62.0,244.0,0.09,0.09,0.18,0.09,0.18,0.17,0.13,0.3,0.17,0.3,655.0,876.0,74.8,9837.0,2365.0,381.0,434.0,87.8,214.0,274.0,78.1,40.0,88.0,45.5,67.0,20.0,29.9,2.94,0.88,0.03,0.1,18.9,0.0,35.0,21.0,12.0,18.0,5.0,10.0,23.3,33.0,1.0,27.0,11.0,46.0,10.0,0.0
725,João Vitor,BRA,Meio-Campista,Grêmio,17.0,2005.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,60.0,13.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
726,José Vitor,BRA,Defensor,Vasco da Gama,20.0,2002.0,4.0,1.0,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,54.0,63.0,85.7,1237.0,313.0,12.0,13.0,92.3,27.0,30.0,90.0,14.0,18.0,77.8,1.0,1.0,100.0,0.82,0.82,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0
727,Paulo Vitor,BRA,Meio-Campista,Cruzeiro,23.0,1999.0,8.0,0.0,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,67.0,76.0,88.2,1131.0,235.0,36.0,37.0,97.3,21.0,24.0,87.5,10.0,10.0,100.0,1.0,1.0,100.0,0.72,0.72,0.0,0.0,26.1,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0
728,Paulo Vitor,BRA,Meio-Campista,Atlético Mineiro,18.0,2004.0,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,279.0,92.0,8.0,8.0,100.0,7.0,7.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
729,Rayan Vitor,BRA,Atacante,Vasco da Gama,16.0,2006.0,6.0,3.0,265.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.8,1.6,5.0,5.0,18.0,0.34,0.0,0.34,0.34,0.34,0.26,0.28,0.54,0.26,0.54,62.0,80.0,77.5,942.0,107.0,36.0,43.0,83.7,17.0,23.0,73.9,5.0,7.0,71.4,11.0,3.0,27.3,3.74,1.02,0.09,0.33,15.5,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0
730,Vladimir,BRA,Goleiro,Santos,33.0,1989.0,3.0,2.0,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,54.0,68.5,949.0,587.0,8.0,8.0,100.0,19.0,20.0,95.0,10.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
731,Walter,BRA,Goleiro,Cuiabá,35.0,1987.0,35.0,35.0,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,934.0,74.8,21038.0,15503.0,109.0,110.0,99.1,314.0,318.0,98.7,274.0,501.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,1.0
